Feb 06 21:34:33 lvl2: 	EmulationStation - v2.10.1rp, built Dec 26 2021 - 16:25:37
Feb 06 21:34:33 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamenames.xml"...
Feb 06 21:34:33 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamebioses.xml"...
Feb 06 21:34:33 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamedevices.xml"...
Feb 06 21:34:33 lvl2: 	Creating window...
Feb 06 21:34:34 lvl2: 	Created window successfully.
Feb 06 21:34:34 lvl2: 	GL vendor:   Broadcom
Feb 06 21:34:34 lvl2: 	GL renderer: V3D 4.2
Feb 06 21:34:34 lvl2: 	GL version:  2.1 Mesa 19.3.2
Feb 06 21:34:34 lvl2: 	Checking available OpenGL extensions...
Feb 06 21:34:34 lvl2: 	 ARB_texture_non_power_of_two: ok
Feb 06 21:34:34 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 0, device index: 0)
Feb 06 21:34:34 lvl2: 	Loading system config file /etc/emulationstation/es_systems.cfg...
Feb 06 21:34:35 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/3do/gamelist.xml"...
Feb 06 21:34:35 lvl1: 	System "amstradcpc" has no games! Ignoring it.
Feb 06 21:34:35 lvl1: 	System "arcade" has no games! Ignoring it.
Feb 06 21:34:35 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"...
Feb 06 21:34:35 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari5200/gamelist.xml"...
Feb 06 21:34:35 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari7800/gamelist.xml"...
Feb 06 21:34:35 lvl1: 	System "atari800" has no games! Ignoring it.
Feb 06 21:34:35 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atarijaguar/gamelist.xml"...
Feb 06 21:34:35 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/channelf" is not a directory!
Feb 06 21:34:35 lvl1: 	System "channelf" has no games! Ignoring it.
Feb 06 21:34:35 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/coleco" is not a directory!
Feb 06 21:34:35 lvl1: 	System "coleco" has no games! Ignoring it.
Feb 06 21:34:35 lvl1: 	System "fba" has no games! Ignoring it.
Feb 06 21:34:36 lvl1: 	System "fds" has no games! Ignoring it.
Feb 06 21:34:36 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gamegear/gamelist.xml"...
Feb 06 21:34:36 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gba/gamelist.xml"...
Feb 06 21:34:36 lvl1: 	System "mame-libretro" has no games! Ignoring it.
Feb 06 21:34:36 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/megadrive/gamelist.xml"...
Feb 06 21:34:36 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/msx" is not a directory!
Feb 06 21:34:36 lvl1: 	System "msx" has no games! Ignoring it.
Feb 06 21:34:36 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/n64/gamelist.xml"...
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Paper Mario (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Quest 64 (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/South Park (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Wave Race 64 - Kawasaki Jet Ski (USA) (Rev 1).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Super Mario 64test.z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Donkey Kong 64 (USA)test.z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Donkey Kong 64 (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Banjo-Kazooie (USA) (Rev 1).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/The Legend of Zelda - Majora's Mask.z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/The Legend of Zelda - Ocarina of Time.z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/007 - The World Is Not Enough (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/BattleTanx - Global Assault (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Bomberman 64 (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Extreme-G (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/F-Zero X (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Gauntlet Legends (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/GoldenEye 007 (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Jet Force Gemini (USA).z64" does not exist! Ignoring.
